sample_name,BioSample,rnai,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Strain,Instrument,Experiment,Run,Sample.Name
Aef1_SRR3488010,SAMN04959947,Aef1,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750012,SRR3488010,GSM2146273
CG10209_SRR3488011,SAMN04959948,CG10209,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750013,SRR3488011,GSM2146274
Atf6_SRR3488012,SAMN04959949,Atf6,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750014,SRR3488012,GSM2146275
CG13775_SRR3488013,SAMN04959950,CG13775,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750015,SRR3488013,GSM2146276
CG13897_SRR3488014,SAMN04959951,CG13897,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750016,SRR3488014,GSM2146277
CG18262_SRR3488015,SAMN04959952,CG18262,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750017,SRR3488015,GSM2146278
CG15436_SRR3488016,SAMN04959953,CG15436,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750018,SRR3488016,GSM2146279
ph-d_SRR3488017,SAMN04959954,ph-d,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750019,SRR3488017,GSM2146280
CG7987_SRR3488018,SAMN04959955,CG7987,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750020,SRR3488018,GSM2146281
Su[var]2-HP2_SRR3488019,SAMN04959956,Su[var]2-HP2,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750021,SRR3488019,GSM2146282
CG2202_SRR3488020,SAMN04959957,CG2202,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750022,SRR3488020,GSM2146283
CG4360_SRR3488021,SAMN04959958,CG4360,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750023,SRR3488021,GSM2146284
ap_SRR3488022,SAMN04959959,ap,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750024,SRR3488022,GSM2146285
CG1024_SRR3488023,SAMN04959960,CG1024,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750025,SRR3488023,GSM2146286
