sample_name,rnai
usp_SRR3486680,usp
ptip_SRR3486683,ptip
zfh1_SRR3486686,zfh1
aop_SRR3486688,aop
e[y]2_SRR3486692,e[y]2
NK7.1_SRR3486694,NK7.1
CG17361_SRR3486695,CG17361
spt4_SRR3486696,spt4
grp_SRR3486697,grp
z_SRR3486709,z
MED27_SRR3486710,MED27
Cdc5_SRR3486711,Cdc5
CG43343_SRR3486716,CG43343
CycC_SRR3486717,CycC
schlank_SRR3486721,schlank
Med_SRR3486723,Med
Snr1_SRR3486724,Snr1
CG11906_SRR3486725,CG11906
ssp_SRR3486726,ssp
maf-S_SRR3486727,maf-S
Su[var]205_SRR3486728,Su[var]205
CG2712_SRR3486729,CG2712
CG10543_SRR3486730,CG10543
Adf1_SRR3486733,Adf1
Pc_SRR3486743,Pc
sage_SRR3486745,sage
CG42724_SRR3486747,CG42724
Ets21C_SRR3486749,Ets21C
CG17186_SRR3486750,CG17186
CG31612_SRR3486755,CG31612
TfIIFalpha_SRR3486757,TfIIFalpha
Hr51_SRR3486758,Hr51
MTF-1_SRR3486760,MTF-1
CG1603_SRR3486762,CG1603
ct_SRR3486764,ct
CrebB_SRR3486767,CrebB
Rpb10_SRR3486769,Rpb10
MED31_SRR3486772,MED31
Dsp1_SRR3486773,Dsp1
egg_SRR3486774,egg
usp_SRR3486775,usp
ptip_SRR3486778,ptip
stc_SRR3486780,stc
Ssrp_SRR3486784,Ssrp
trem_SRR3486786,trem
e[y]2_SRR3486787,e[y]2
NK7.1_SRR3486789,NK7.1
spt4_SRR3486791,spt4
Ada2b_SRR3486793,Ada2b
CHES-1-like_SRR3486798,CHES-1-like
Taf11_SRR3486800,Taf11
Sry-delta_SRR3486801,Sry-delta
l[3]neo38_SRR3486802,l[3]neo38
MED27_SRR3486805,MED27
CG1965_SRR3486809,CG1965
CG43343_SRR3486811,CG43343
Cf2_SRR3486813,Cf2
CG11902_SRR3486814,CG11902
schlank_SRR3486816,schlank
Tip60_SRR3486817,Tip60
CG11906_SRR3486820,CG11906
Su[var]205_SRR3486823,Su[var]205
Usf_SRR3486826,Usf
SC35_SRR3486827,SC35
Nf-YA_SRR3486829,Nf-YA
Pc_SRR3486831,Pc
CG7357_SRR3486833,CG7357
CG15011_SRR3486834,CG15011
phol_SRR3486835,phol
CrebA_SRR3486836,CrebA
TfIIS_SRR3486840,TfIIS
Jra_SRR3486844,Jra
chn_SRR3486845,chn
Jarid2_SRR3486847,Jarid2
CG15436_SRR3486849,CG15436
lid_SRR3486851,lid
glu_SRR3486852,glu
Xpd_SRR3486854,Xpd
Mef2_SRR3486856,Mef2
Lhr_SRR3486857,Lhr
CG3919_SRR3486858,CG3919
CG10462_SRR3486861,CG10462
grp_SRR3486863,grp
key_SRR3486864,key
EcR_SRR3486865,EcR
CG7372_SRR3486870,CG7372
CG3407_SRR3486872,CG3407
CG10631_SRR3486873,CG10631
her_SRR3486875,her
ap_SRR3486877,ap
CG1603_SRR3486878,CG1603
hay_SRR3486883,hay
cbt_SRR3486884,cbt
Sfmbt_SRR3486885,Sfmbt
